year,round,date,constructorId,driverId,mapPosition,mapPoints,status,constructorScore,driverScore,expected,actual,driverName
2024,1,2024-03-02,9,830,1,25.0,finished,2644.07966509928,2589.5549207945223,18.025023326359168,19.0,Max Verstappen
2024,1,2024-03-02,9,815,2,18.0,finished,2644.07966509928,1748.4160849731854,13.763114401313688,18.0,Sergio Pérez
2024,1,2024-03-02,6,832,3,15.0,finished,2264.1141406263555,2049.695616043498,13.920325345390166,17.0,Carlos Sainz
2024,1,2024-03-02,6,844,4,12.0,finished,2264.1141406263555,2140.8374349600235,14.676527879842258,16.0,Charles Leclerc
2024,1,2024-03-02,131,847,5,10.0,finished,2179.506768056085,1909.9869357254297,12.420279274076822,15.0,George Russell
2024,1,2024-03-02,1,846,6,8.0,finished,1943.9014765387417,2166.9677999291994,13.161565061804106,14.0,Lando Norris
2024,1,2024-03-02,131,1,7,6.0,finished,2179.506768056085,1885.2439023625632,12.385083080777893,13.0,Lewis Hamilton
2024,1,2024-03-02,1,857,8,4.0,finished,1943.9014765387417,1802.8001427172755,10.011464396068453,12.0,Oscar Piastri
2024,1,2024-03-02,117,4,9,2.0,finished,1721.8113538590176,2242.6362805594613,12.721440478995616,11.0,Fernando Alonso
2024,1,2024-03-02,117,840,10,1.0,finished,1721.8113538590176,1827.9787120018416,8.91266396164876,10.0,Lance Stroll
2024,1,2024-03-02,15,855,11,0.0,finished,1675.2329729566786,1590.288239071995,6.496743357005045,9.0,Guanyu Zhou
2024,1,2024-03-02,210,825,12,0.0,finished,1286.7367390565971,1546.356876647146,3.527193948178574,8.0,Kevin Magnussen
2024,1,2024-03-02,215,817,13,0.0,finished,1510.8916771809425,1609.171672011718,5.508656405332984,7.0,Daniel Ricciardo
2024,1,2024-03-02,215,852,14,0.0,finished,1510.8916771809425,1585.4641783648792,5.39383759752345,6.0,Yuki Tsunoda
2024,1,2024-03-02,3,848,15,0.0,finished,1399.5396338430633,1726.6649110328435,6.220728352934389,5.0,Alexander Albon
2024,1,2024-03-02,210,807,16,0.0,finished,1286.7367390565971,1670.183353657441,4.76818876734271,4.0,Nico Hülkenberg
2024,1,2024-03-02,214,839,17,0.0,finished,1678.5798323232,1761.8961940930533,9.112269463199144,3.0,Esteban Ocon
2024,1,2024-03-02,214,842,18,0.0,finished,1678.5798323232,1664.779131685496,8.264516288088155,2.0,Pierre Gasly
2024,1,2024-03-02,15,822,19,0.0,finished,1675.2329729566786,1559.6190153587947,6.985280116915662,1.0,Valtteri Bottas
2024,1,2024-03-02,3,858,20,0.0,finished,1399.5396338430633,1369.1706684241403,3.72509849720296,0.0,Logan Sargeant
2024,2,2024-03-09,9,830,1,25.0,finished,2667.443417940086,2598.7715763473666,17.159242565769137,18.0,Max Verstappen
2024,2,2024-03-09,9,815,2,18.0,finished,2667.443417940086,1785.9269351019534,13.578202805859611,17.0,Sergio Pérez
2024,2,2024-03-09,6,844,3,15.0,finished,2287.938682143088,2160.7854424432694,14.18031220831988,16.0,Charles Leclerc
2024,2,2024-03-09,1,857,4,12.0,finished,1962.215803257256,1858.460186050257,9.922605607478268,15.0,Oscar Piastri
2024,2,2024-03-09,117,4,5,10.0,finished,1684.924419117033,2264.1812931069526,12.03463096065143,14.0,Fernando Alonso
2024,2,2024-03-09,131,847,6,8.0,finished,2172.815525158648,1918.73368652962,12.202107996569506,13.0,George Russell
2024,2,2024-03-09,6,860,7,6.0,finished,2287.938682143088,1527.701075550218,9.473065465938015,12.0,Oliver Bearman
2024,2,2024-03-09,1,846,8,4.0,finished,1962.215803257256,2147.936410033245,12.73607253162795,11.0,Lando Norris
2024,2,2024-03-09,131,1,9,2.0,finished,2172.815525158648,1863.1146657634972,12.01866285203382,10.0,Lewis Hamilton
2024,2,2024-03-09,210,807,10,1.0,finished,1327.5629981801667,1717.2566628604038,4.705900644835868,9.0,Nico Hülkenberg
2024,2,2024-03-09,3,848,11,0.0,finished,1415.574785881547,1750.8060156842416,5.797811463189129,8.0,Alexander Albon
2024,2,2024-03-09,210,825,12,0.0,finished,1327.5629981801667,1580.9360856913222,3.845631595211132,7.0,Kevin Magnussen
2024,2,2024-03-09,214,839,13,0.0,finished,1658.211547981315,1741.5279097511686,7.858026090351475,6.0,Esteban Ocon
2024,2,2024-03-09,215,852,14,0.0,finished,1494.8436930800965,1581.3798402531522,5.372579577446301,5.0,Yuki Tsunoda
2024,2,2024-03-09,3,858,15,0.0,finished,1415.574785881547,1377.0998678497106,3.2766862853532808,4.0,Logan Sargeant
2024,2,2024-03-09,215,817,16,0.0,finished,1494.8436930800965,1581.1600419217525,5.555263794771539,3.0,Daniel Ricciardo
2024,2,2024-03-09,15,822,17,0.0,finished,1622.679244629784,1513.9006503463131,6.17049927110072,2.0,Valtteri Bottas
2024,2,2024-03-09,15,855,18,0.0,finished,1622.679244629784,1530.899147430687,6.417563889998894,1.0,Guanyu Zhou
2024,2,2024-03-09,117,840,19,0.0,driver retirement,1684.924419117033,1732.6598299703812,8.695134393494035,0.0,Lance Stroll
2024,2,2024-03-09,214,842,20,0.0,constructor retirement,1658.211547981315,1664.779131685496,0.0,0.0,Pierre Gasly
2024,3,2024-03-24,6,832,1,25.0,finished,2320.1071495555075,2091.791447969913,12.586625550827453,16.0,Carlos Sainz
2024,3,2024-03-24,6,844,2,18.0,finished,2320.1071495555075,2183.026545341694,13.19656225139803,15.0,Charles Leclerc
2024,3,2024-03-24,1,846,3,15.0,finished,1997.589285683449,2177.0301774866084,11.640908424637615,14.0,Lando Norris
2024,3,2024-03-24,1,857,4,12.0,finished,1997.589285683449,1900.1133834492812,9.62251692812006,13.0,Oscar Piastri
2024,3,2024-03-24,9,815,5,10.0,finished,2658.048126120559,1776.5316432824266,12.761824807153165,12.0,Sergio Pérez
2024,3,2024-03-24,117,840,6,8.0,finished,1697.3386089394326,1781.941023946571,7.003994679637427,11.0,Lance Stroll
2024,3,2024-03-24,215,852,7,6.0,finished,1528.7707675275396,1646.128782608131,4.749779839681808,10.0,Yuki Tsunoda
2024,3,2024-03-24,117,4,8,4.0,finished,1697.3386089394326,2239.728478775562,10.982776152162332,9.0,Fernando Alonso
2024,3,2024-03-24,210,807,9,2.0,finished,1366.7201309291245,1756.8082832041955,4.792924996924502,8.0,Nico Hülkenberg
2024,3,2024-03-24,210,825,10,1.0,finished,1366.7201309291245,1619.6987308454454,3.856899685871239,7.0,Kevin Magnussen
2024,3,2024-03-24,3,848,11,0.0,finished,1421.250522608833,1756.4817524115274,5.539778314418082,6.0,Alexander Albon
2024,3,2024-03-24,215,817,12,0.0,finished,1528.7707675275396,1584.2652484616608,4.7482118257870765,5.0,Daniel Ricciardo
2024,3,2024-03-24,214,842,13,0.0,finished,1607.46788611999,1636.1983608167354,6.317494833968718,4.0,Pierre Gasly
2024,3,2024-03-24,15,822,14,0.0,finished,1591.354118168097,1489.505015752526,4.978139687067944,3.0,Valtteri Bottas
2024,3,2024-03-24,15,855,15,0.0,finished,1591.354118168097,1492.6445291011005,5.101906549734257,2.0,Guanyu Zhou
2024,3,2024-03-24,214,839,16,0.0,finished,1607.46788611999,1668.6213568972785,6.911686580365695,1.0,Esteban Ocon
2024,3,2024-03-24,131,847,17,0.0,driver retirement,2034.5919631820857,1780.5101245530575,11.207968892244605,0.0,George Russell
2024,3,2024-03-24,9,830,18,0.0,constructor retirement,2658.048126120559,2598.7715763473666,0.0,0.0,Max Verstappen
2024,3,2024-03-24,131,1,19,0.0,constructor retirement,2034.5919631820857,1863.1146657634972,0.0,0.0,Lewis Hamilton
2024,4,2024-04-07,9,830,1,25.0,finished,2681.973172233424,2608.79688942417,17.08547558802791,18.0,Max Verstappen
2024,4,2024-04-07,9,815,2,18.0,finished,2681.973172233424,1814.3564224313525,13.549565719879189,17.0,Sergio Pérez
2024,4,2024-04-07,6,832,3,15.0,finished,2335.00059172939,2115.073931989162,13.876136152174675,16.0,Carlos Sainz
2024,4,2024-04-07,6,844,4,12.0,finished,2335.00059172939,2189.530945670211,14.406658640972344,15.0,Charles Leclerc
