constructorId,driverName,driverScore,hex_code
9,Max Verstappen,2349.356029410243,#3671C6
1,Lando Norris,2176.276246067844,#FF8100
6,Charles Leclerc,2059.1967298215195,#E80020
131,Lewis Hamilton,2031.679741426436,#25F4D2
1,Oscar Piastri,1926.6040860716812,#FF8100
6,Carlos Sainz,1918.200544686289,#E80020
131,George Russell,1827.065544340777,#25F4D2
117,Fernando Alonso,1796.8653624634974,#219971
3,Alexander Albon,1699.5075112287252,#63C4FF
210,Nico Hülkenberg,1671.8349228074571,#B6BABD
214,Esteban Ocon,1632.575133561616,#0293CC
214,Pierre Gasly,1621.2147301295963,#0293CC
215,Daniel Ricciardo,1601.977723235013,#6692FF
15,Valtteri Bottas,1595.4437878729966,#51E251
3,Franco Colapinto,1547.209845414487,#63C4FF
215,Yuki Tsunoda,1526.370859860144,#6692FF
9,Sergio Pérez,1515.018298202422,#3671C6
15,Guanyu Zhou,1484.9275671091211,#51E251
210,Kevin Magnussen,1453.7253537327365,#B6BABD
117,Lance Stroll,1307.4038985013383,#219971
