driverName,cumDriScoreChange,hex_code,baseline
Oscar Piastri,119.19615337125697,#FF8100,0
George Russell,96.38816279895013,#25F4D2,0
Charles Leclerc,88.26795003385905,#E80020,0
Nico Hülkenberg,74.26096341871812,#B6BABD,0
Lando Norris,70.2258810268554,#FF8100,0
Yuki Tsunoda,60.49747817756838,#6692FF,0
Carlos Sainz,33.28392739903461,#E80020,0
Kevin Magnussen,25.979422371752207,#B6BABD,0
Pierre Gasly,20.987856682861548,#0293CC,0
Franco Colapinto,10.732676103481936,#63C4FF,0
Liam Lawson,4.008139360402311,#6692FF,0
Alexander Albon,3.298794405544868,#63C4FF,0
Oliver Bearman,2.311143754142904,#B6BABD,0
Guanyu Zhou,1.3300731944600557,#51E251,0
Jack Doohan,-6.359136034307994,#0293CC,0
Max Verstappen,-9.55188871350515,#3671C6,0
Lewis Hamilton,-36.66621610362404,#25F4D2,0
Daniel Ricciardo,-41.30093190466073,#6692FF,0
Lance Stroll,-52.392472994481295,#219971,0
Valtteri Bottas,-53.15627879590511,#51E251,0
Logan Sargeant,-59.78846627223743,#63C4FF,0
Esteban Ocon,-79.70661519153282,#0293CC,0
Fernando Alonso,-87.07336286319423,#219971,0
Sergio Pérez,-185.22166175104348,#3671C6,0
