year,round,date,constructorId,driverId,mapPosition,mapPoints,status,constructorScore,driverScore,expected,actual,driverName
1960,4,1960-06-06,32,373,16,0.0,constructor retirement,1475.7028490342118,1500.0,0.0,0.0,Jim Clark
1960,5,1960-06-19,32,373,5,10.0,finished,1440.0101730961512,1549.787736154541,3.4768258118594115,6.0,Jim Clark
1960,6,1960-07-03,32,373,5,10.0,finished,1459.5300830356869,1585.8868883654063,4.17054447325166,6.0,Jim Clark
1960,7,1960-07-16,32,373,16,0.0,finished,1486.029828634956,1514.1231254857194,6.819022534539625,1.0,Jim Clark
1960,8,1960-08-14,32,373,3,15.0,finished,1490.2542765315704,1609.4639475728998,2.6514321005117183,7.0,Jim Clark
1960,10,1960-11-20,32,373,16,0.0,finished,1500.066906045551,1544.2077790177186,7.622058318283726,2.0,Jim Clark
1961,1,1961-05-14,172,373,10,1.0,finished,1498.161012372742,1521.0967389603873,5.52260655954629,4.0,Jim Clark
1961,2,1961-05-22,172,373,3,15.0,finished,1518.1574047591976,1613.034132557903,5.477034568871032,12.0,Jim Clark
1961,3,1961-06-18,172,373,12,0.0,finished,1449.482051386035,1542.6426379544532,5.280813291773543,1.0,Jim Clark
1961,4,1961-07-02,172,373,3,15.0,finished,1459.7919562736702,1627.5921098823096,5.972828170397004,12.0,Jim Clark
1961,5,1961-07-15,172,373,20,0.0,constructor retirement,1450.4902325062117,1627.5921098823096,0.0,0.0,Jim Clark
1961,6,1961-08-06,172,373,4,12.0,finished,1471.79691460229,1706.8967509695565,7.765709190191464,15.0,Jim Clark
1961,7,1961-09-10,172,373,19,0.0,driver retirement,1433.248260427169,1623.1342176571034,8.791952502719937,2.0,Jim Clark
1961,8,1961-10-08,172,373,7,6.0,finished,1427.3741104932285,1629.664286062137,5.60287810648236,6.0,Jim Clark
1962,1,1962-05-20,172,373,9,2.0,finished,1397.1084052416595,1599.082510315533,6.169779435894592,4.0,Jim Clark
1962,2,1962-06-03,172,373,10,1.0,constructor retirement,1385.6167480571166,1599.082510315533,0.0,0.0,Jim Clark
1962,3,1962-06-17,172,373,1,25.0,finished,1376.0312265232692,1708.3983683373922,4.906024457409636,11.0,Jim Clark
1962,4,1962-07-08,172,373,11,0.0,constructor retirement,1362.684588961935,1708.3983683373922,0.0,0.0,Jim Clark
1962,5,1962-07-21,172,373,1,25.0,finished,1373.2645608686362,1810.1918476315152,7.261869107322493,15.0,Jim Clark
1962,6,1962-08-05,172,373,4,12.0,finished,1360.6913346431136,1871.9862526602308,11.423523029093358,18.0,Jim Clark
1962,7,1962-09-16,172,373,16,0.0,constructor retirement,1341.7140913385158,1871.9862526602308,0.0,0.0,Jim Clark
1962,8,1962-10-07,172,373,1,25.0,finished,1357.9251204473576,1964.4494528808937,6.9083193649710894,13.0,Jim Clark
1962,9,1962-12-29,172,373,13,0.0,constructor retirement,1358.6041089787282,1964.4494528808937,0.0,0.0,Jim Clark
1963,1,1963-05-26,172,373,8,4.0,constructor retirement,1361.2134327608844,1964.4494528808937,0.0,0.0,Jim Clark
1963,2,1963-06-09,172,373,1,25.0,finished,1443.8058406443204,2047.0418607643296,5.814330037802758,10.0,Jim Clark
1963,3,1963-06-23,172,373,1,25.0,finished,1466.978262227145,2116.0044829119893,7.155575775321607,11.0,Jim Clark
1963,4,1963-06-30,172,373,1,25.0,finished,1492.4074033066925,2177.65706655864,6.875531612713861,10.0,Jim Clark
1963,5,1963-07-20,172,373,1,25.0,finished,1523.2111129703762,2229.7569291020395,8.831580500857415,12.0,Jim Clark
1963,6,1963-08-04,172,373,2,18.0,finished,1551.918957825003,2260.900604935893,14.159026195949387,17.0,Jim Clark
1963,7,1963-09-08,172,373,1,25.0,finished,1548.655064133724,2296.306842683923,14.770188770305657,18.0,Jim Clark
1963,8,1963-10-06,172,373,3,15.0,finished,1541.6061148932888,2289.257893443488,5.250061756277503,5.0,Jim Clark
1963,9,1963-10-27,172,373,1,25.0,finished,1593.944279426936,2341.596057977135,7.347573599328867,10.0,Jim Clark
1963,10,1963-12-28,172,373,1,25.0,finished,1623.7908169772788,2377.6245026028896,11.443778971372844,14.0,Jim Clark
1964,1,1964-05-10,172,373,4,12.0,constructor retirement,1676.643628738238,2377.6245026028896,0.0,0.0,Jim Clark
1964,2,1964-05-24,172,373,1,25.0,finished,1740.6311459574736,2417.737116914993,9.560577261750272,12.0,Jim Clark
1964,3,1964-06-14,172,373,1,25.0,finished,1720.034667269803,2446.057435810108,5.995335554322403,7.0,Jim Clark
1964,4,1964-06-28,172,373,13,0.0,constructor retirement,1774.152662233295,2446.057435810108,0.0,0.0,Jim Clark
1964,5,1964-07-11,172,373,1,25.0,finished,1793.2857427339782,2472.4537551804096,13.859633175838267,16.0,Jim Clark
1964,6,1964-08-02,172,373,16,0.0,constructor retirement,1777.6267837126866,2472.4537551804096,0.0,0.0,Jim Clark
1964,7,1964-08-23,172,373,12,0.0,constructor retirement,1777.6267837126866,2472.4537551804096,0.0,0.0,Jim Clark
1964,8,1964-09-06,172,373,15,0.0,constructor retirement,1814.8022587346693,2472.4537551804096,0.0,0.0,Jim Clark
1964,9,1964-10-04,172,373,7,6.0,constructor retirement,1784.697484401958,2472.4537551804096,0.0,0.0,Jim Clark
1964,9,1964-10-04,172,373,7,6.0,constructor retirement,1784.697484401958,2472.4537551804096,0.0,0.0,Jim Clark
1964,10,1964-10-25,172,373,5,10.0,constructor retirement,1810.433446961329,2472.4537551804096,0.0,0.0,Jim Clark
1965,1,1965-01-01,172,373,1,25.0,finished,1785.9142782386489,2493.102916266148,18.802410553418333,21.0,Jim Clark
1965,1,1965-01-01,66,328,6,8.0,finished,1854.377907938839,1549.9940658837645,10.67937553871131,16.0,Jackie Stewart
1965,2,1965-05-30,66,328,3,15.0,finished,1904.7154718784195,1607.7063608310866,4.367698036165025,7.0,Jackie Stewart
1965,3,1965-06-13,172,373,1,25.0,finished,1741.3049380562622,2523.881690930126,10.972226084074324,13.0,Jim Clark
1965,3,1965-06-13,66,328,2,18.0,finished,1913.678788961455,1690.023514750582,6.576763390566457,12.0,Jackie Stewart
1965,4,1965-06-27,172,373,1,25.0,finished,1744.2608224549065,2559.922101214353,6.538817146826782,8.0,Jim Clark
1965,4,1965-06-27,66,328,2,18.0,finished,1932.534593054246,1768.3890659554402,3.822833069963184,7.0,Jackie Stewart
1965,5,1965-07-10,172,373,1,25.0,finished,1751.2014919682133,2586.4368538657964,12.11877617808636,14.0,Jim Clark
1965,5,1965-07-10,66,328,5,10.0,finished,1934.645077266813,1789.878653977172,8.475312010599046,10.0,Jackie Stewart
1965,6,1965-07-18,172,373,1,25.0,finished,1759.626689819257,2614.219093443986,10.310441039339388,12.0,Jim Clark
1965,6,1965-07-18,66,328,2,18.0,finished,1968.03703992628,1855.314676213227,7.02055056044847,11.0,Jackie Stewart
1965,7,1965-08-01,172,373,1,25.0,finished,1785.488816763293,2640.081220388022,7.82040858701126,9.0,Jim Clark
1965,7,1965-08-01,66,328,10,1.0,constructor retirement,1941.4492041094304,1855.314676213227,0.0,0.0,Jackie Stewart
1965,8,1965-09-12,66,328,1,25.0,finished,1982.658254719349,1922.8258417522552,5.26290137361346,8.0,Jackie Stewart
1965,8,1965-09-12,172,373,10,1.0,constructor retirement,1785.488816763293,2640.081220388022,0.0,0.0,Jim Clark
1965,9,1965-10-03,66,328,16,0.0,constructor retirement,2015.446938280432,1922.8258417522552,0.0,0.0,Jackie Stewart
1965,9,1965-10-03,172,373,17,0.0,constructor retirement,1718.7740603016978,2640.081220388022,0.0,0.0,Jim Clark
1965,10,1965-10-24,172,373,10,1.0,constructor retirement,1752.101611334241,2640.081220388022,0.0,0.0,Jim Clark
1965,10,1965-10-24,66,328,12,0.0,constructor retirement,2015.446938280432,1922.8258417522552,0.0,0.0,Jackie Stewart
1966,1,1966-05-22,66,328,1,25.0,finished,1990.5850279342708,1998.468223152635,1.8499643545561275,3.0,Jackie Stewart
1966,1,1966-05-22,172,373,5,10.0,constructor retirement,1752.101611334241,2640.081220388022,0.0,0.0,Jim Clark
1966,2,1966-06-12,66,328,7,6.0,driver retirement,1922.7708547182,1955.8749441873772,8.37442586089479,6.0,Jackie Stewart
1966,2,1966-06-12,172,373,11,0.0,constructor retirement,1752.101611334241,2640.081220388022,0.0,0.0,Jim Clark
1966,4,1966-07-16,172,373,4,12.0,finished,1710.4327745947285,2598.412383648509,9.111719500252722,7.0,Jim Clark
1966,4,1966-07-16,66,328,14,0.0,constructor retirement,1904.7716115468188,1955.8749441873772,0.0,0.0,Jackie Stewart
1966,5,1966-07-24,172,373,3,15.0,finished,1696.7764782115655,2584.756087265346,8.69208237210543,8.0,Jim Clark
1966,5,1966-07-24,66,328,4,12.0,finished,1926.0541243621467,1960.194487623575,6.7810914625855805,7.0,Jackie Stewart
1966,6,1966-08-07,66,328,5,10.0,finished,1913.637629275786,1941.3797830771969,5.8581530811001725,5.0,Jackie Stewart
1966,6,1966-08-07,172,373,10,1.0,driver retirement,1574.388449552434,2462.3680586062146,7.582211701741897,2.0,Jim Clark
1966,7,1966-09-04,176,373,11,0.0,constructor retirement,1423.3595322405854,2462.3680586062146,0.0,0.0,Jim Clark
1966,7,1966-09-04,66,328,16,0.0,constructor retirement,1904.50032218528,1941.3797830771969,0.0,0.0,Jackie Stewart
1966,8,1966-10-02,176,373,1,25.0,finished,1460.761351516079,2499.7698778817085,4.0522635464635695,5.0,Jim Clark
