year,round,date,constructorId,driverId,time,milliseconds,status,estPosition,estPoints,win,score
1986,1,1986-03-23,team_lotus,senna,+34.827,6007410.0,finished,2,18,1.0,1519.6
1986,1,1986-03-23,benetton,berger,\N,,+2 laps,6,8,1.0,1519.5555555555557
1986,1,1986-03-23,mclaren,prost,\N,,engine,13,0,1.0,1518.0
1986,2,1986-04-13,team_lotus,senna,1:48:47.735,6527735.0,finished,1,25,1.0,1537.1553953717462
1986,2,1986-04-13,mclaren,prost,+21.552,6549287.0,finished,3,15,1.0,1534.2671677717863
1986,2,1986-04-13,benetton,berger,\N,,+1 lap,6,8,0.0,1503.190384828393
1986,3,1986-04-27,mclaren,prost,1:32:28.408,5548408.0,finished,1,25,1.0,1549.472817284179
1986,3,1986-04-27,benetton,berger,\N,,+1 lap,3,15,1.0,1523.289807966028
1986,3,1986-04-27,team_lotus,senna,\N,,wheel bearing,21,0,1.0,1551.1694348734873
1986,4,1986-05-11,mclaren,prost,1:55:41.060,6941060.0,finished,1,25,1.0,1562.6494200115226
1986,4,1986-05-11,team_lotus,senna,+53.646,6994706.0,finished,3,15,1.0,1565.8344712467988
1986,4,1986-05-11,benetton,berger,\N,,steering,15,0,1.0,1539.1789177648898
1986,5,1986-05-25,team_lotus,senna,+19.827,5297752.0,finished,2,18,1.0,1579.1645737460683
1986,5,1986-05-25,mclaren,prost,+2:17.772,5415697.0,finished,6,8,1.0,1576.3059509476789
1986,5,1986-05-25,benetton,berger,\N,,+2 laps,10,1,0.0,1519.992888562971
1986,6,1986-06-15,mclaren,prost,+20.659,6167074.0,finished,2,18,1.0,1587.2003360118033
1986,6,1986-06-15,team_lotus,senna,\N,,+1 lap,5,10,1.0,1591.3879903152879
1986,6,1986-06-15,benetton,berger,\N,,turbo,17,0,1.0,1536.768117177895
1986,7,1986-06-22,team_lotus,senna,1:51:12.847,6672847.0,finished,1,25,1.0,1601.9153645028348
1986,7,1986-06-22,mclaren,prost,+31.824,6704671.0,finished,3,15,1.0,1598.8704860218324
1986,7,1986-06-22,benetton,berger,\N,,engine,24,0,0.0,1519.7625984288054
1986,8,1986-07-06,mclaren,prost,+17.128,5856400.0,finished,2,18,1.0,1608.1086447592777
1986,8,1986-07-06,benetton,berger,\N,,gearbox,19,0,1.0,1537.0553862918052
1986,8,1986-07-06,team_lotus,senna,\N,,accident,22,0,0.0,1578.5055671768273
1986,9,1986-07-13,mclaren,prost,\N,,+1 lap,3,15,1.0,1618.3683731952103
1986,9,1986-07-13,team_lotus,senna,\N,,gearbox,16,0,0.0,1555.368899416635
1986,9,1986-07-13,benetton,berger,\N,,electrical,19,0,0.0,1520.4919664101146
1986,10,1986-07-27,team_lotus,senna,+15.437,4943700.0,finished,2,18,1.0,1570.9016599552751
1986,10,1986-07-27,mclaren,prost,\N,,out of fuel,6,8,0.0,1593.7919708876877
1986,10,1986-07-27,benetton,berger,\N,,+2 laps,10,1,1.0,1540.1859789373786
1986,11,1986-08-10,team_lotus,senna,+17.673,7252181.0,finished,2,18,1.0,1583.5218831995878
1986,11,1986-08-10,benetton,berger,\N,,transmission,13,0,1.0,1555.7266954637755
1986,11,1986-08-10,mclaren,prost,\N,,accident,20,0,0.0,1571.5889056279648
1986,12,1986-08-17,mclaren,prost,1:21:22.531,4882531.0,finished,1,25,1.0,1585.4808307719065
1986,12,1986-08-17,benetton,berger,\N,,+3 laps,7,6,1.0,1571.6750031100348
1986,12,1986-08-17,team_lotus,senna,\N,,engine,19,0,1.0,1594.4823077023411
1986,13,1986-09-07,benetton,berger,\N,,+1 lap,5,10,1.0,1586.0683293622155
1986,13,1986-09-07,mclaren,prost,\N,,disqualified,18,0,0.0,1562.4453213605702
1986,13,1986-09-07,team_lotus,senna,\N,,transmission,27,0,0.0,1572.5827371793464
1986,14,1986-09-21,mclaren,prost,+18.772,5860672.0,finished,2,18,1.0,1578.0828655959542
1986,14,1986-09-21,team_lotus,senna,\N,,out of fuel,4,12,1.0,1586.5226432312338
1986,14,1986-09-21,benetton,berger,\N,,spun off,17,0,0.0,1563.1734068913006
1986,15,1986-10-12,benetton,berger,1:33:18.700,5598700.0,finished,1,25,1.0,1578.9559175884467
1986,15,1986-10-12,mclaren,prost,+25.438,5624138.0,finished,2,18,1.0,1592.2185027583596
1986,15,1986-10-12,team_lotus,senna,+52.513,5651213.0,finished,3,15,1.0,1599.7830753512003
1986,16,1986-10-26,mclaren,prost,1:54:20.388,6860388.0,finished,1,25,1.0,1605.110101884414
1986,16,1986-10-26,team_lotus,senna,\N,,engine,19,0,0.0,1575.948614005965
1986,16,1986-10-26,benetton,berger,\N,,engine,21,0,0.0,1557.211735352674
1987,1,1987-04-12,mclaren,prost,1:39:45.141,5985141.0,finished,1,25,1.0,1620.4832345297912
1987,1,1987-04-12,ferrari,berger,+1:39.235,6084376.0,finished,4,12,1.0,1573.3725409125282
1987,1,1987-04-12,team_lotus,senna,\N,,engine,14,0,0.0,1555.4129126897599
1987,2,1987-05-03,team_lotus,senna,+27.545,5511621.0,finished,2,18,1.0,1572.295036789085
1987,2,1987-05-03,ferrari,berger,\N,,electrical,23,0,0.0,1552.887316864561
1987,2,1987-05-03,mclaren,prost,\N,,electrical,24,0,0.0,1599.813179718324
1987,3,1987-05-17,mclaren,prost,1:27:03.217,5223217.0,finished,1,25,1.0,1616.1236101955546
1987,3,1987-05-17,team_lotus,senna,\N,,accident,15,0,0.0,1552.6373089593596
1987,3,1987-05-17,ferrari,berger,\N,,engine,23,0,0.0,1537.0481869017656
1987,4,1987-05-31,team_lotus,senna,1:57:54.085,7074085.0,finished,1,25,1.0,1571.4211718702247
1987,4,1987-05-31,ferrari,berger,\N,,+1 lap,4,12,0.0,1523.1693434465597
1987,4,1987-05-31,mclaren,prost,\N,,engine,9,2,1.0,1632.4092834322937
1987,5,1987-06-21,team_lotus,senna,1:50:16.358,6616358.0,finished,1,25,1.0,1588.3353203450222
1987,5,1987-06-21,mclaren,prost,+45.327,6661685.0,finished,3,15,1.0,1645.939793954585
1987,5,1987-06-21,ferrari,berger,+1:02.601,6678959.0,finished,4,12,1.0,1545.4471900267072
1987,6,1987-07-05,mclaren,prost,+55.255,5879094.0,finished,3,15,1.0,1658.5511215632655
1987,6,1987-07-05,team_lotus,senna,\N,,+1 lap,4,12,1.0,1603.5314968798027
1987,6,1987-07-05,ferrari,berger,\N,,suspension,10,1,1.0,1565.2504139005218
1987,7,1987-07-12,team_lotus,senna,\N,,+1 lap,3,15,1.0,1615.5236716944528
1987,7,1987-07-12,mclaren,prost,\N,,engine,12,0,1.0,1668.9568236311425
1987,7,1987-07-12,ferrari,berger,\N,,accident,22,0,0.0,1548.88477866122
1987,8,1987-07-26,team_lotus,senna,\N,,+1 lap,3,15,1.0,1628.2846910959445
1987,8,1987-07-26,mclaren,prost,\N,,electrical,7,6,0.0,1645.5876252521984
1987,8,1987-07-26,ferrari,berger,\N,,turbo,16,0,1.0,1566.757061993868
1987,9,1987-08-09,team_lotus,senna,+37.727,7204520.0,finished,2,18,1.0,1640.034792247317
1987,9,1987-08-09,mclaren,prost,+1:27.456,7254249.0,finished,3,15,1.0,1659.7032237470728
1987,9,1987-08-09,ferrari,berger,\N,,differential,24,0,0.0,1550.6917412508594
1987,10,1987-08-16,team_lotus,senna,\N,,+2 laps,5,10,1.0,1650.9400451399392
1987,10,1987-08-16,mclaren,prost,\N,,+2 laps,6,8,1.0,1670.8639326006933
1987,10,1987-08-16,ferrari,berger,\N,,turbo,22,0,0.0,1536.83333312111
1987,11,1987-09-06,team_lotus,senna,+1.806,4489513.0,finished,2,18,1.0,1661.1337910088102
1987,11,1987-09-06,ferrari,berger,+57.979,4545686.0,finished,4,12,1.0,1558.9106221174977
1987,11,1987-09-06,mclaren,prost,\N,,+4 laps,15,0,0.0,1646.8658132441055
1987,12,1987-09-20,mclaren,prost,1:37:03.906,5823906.0,finished,1,25,1.0,1660.3465318034762
1987,12,1987-09-20,ferrari,berger,+20.493,5844399.0,finished,2,18,1.0,1578.5341894447943
1987,12,1987-09-20,team_lotus,senna,\N,,+2 laps,7,6,1.0,1669.1233664563053
1987,13,1987-09-27,mclaren,prost,+22.225,6574917.0,finished,2,18,1.0,1671.940248908786
1987,13,1987-09-27,team_lotus,senna,+1:13.507,6626199.0,finished,5,10,1.0,1677.6347202669588
1987,13,1987-09-27,ferrari,berger,\N,,engine,17,0,0.0,1562.0145763942483
1987,14,1987-10-18,team_lotus,senna,\N,,spun off,10,1,1.0,1686.393452111213
1987,14,1987-10-18,ferrari,berger,\N,,turbo,18,0,1.0,1579.7481373575301
1987,14,1987-10-18,mclaren,prost,\N,,collision,26,0,0.0,1650.4041975746559
1987,15,1987-11-01,ferrari,berger,1:32:58.072,5578072.0,finished,1,25,1.0,1596.2659584129249
1987,15,1987-11-01,team_lotus,senna,+17.384,5595456.0,finished,2,18,1.0,1693.5162461776838
1987,15,1987-11-01,mclaren,prost,\N,,+1 lap,7,6,0.0,1630.440475492072
1987,16,1987-11-15,ferrari,berger,1:52:56.144,6776144.0,finished,1,25,1.0,1610.6902639885982
1987,16,1987-11-15,team_lotus,senna,\N,,disqualified,10,1,1.0,1701.5824054938412
1987,16,1987-11-15,mclaren,prost,\N,,brakes,13,0,1.0,1645.8688089640016
