constructorId,constructorName,year,n_years,constructorYearId
6,Ferrari,1950,75,6
6,Ferrari,1951,75,6
6,Ferrari,1952,75,6
6,Ferrari,1953,75,6
6,Ferrari,1954,75,6
6,Ferrari,1955,75,6
6,Ferrari,1956,75,6
6,Ferrari,1957,75,6
6,Ferrari,1958,75,6
6,Ferrari,1959,75,6
6,Ferrari,1960,75,6
6,Ferrari,1961,75,6
6,Ferrari,1962,75,6
6,Ferrari,1963,75,6
6,Ferrari,1964,75,6
6,Ferrari,1965,75,6
6,Ferrari,1966,75,6
6,Ferrari,1967,75,6
6,Ferrari,1968,75,6
6,Ferrari,1969,75,6
6,Ferrari,1970,75,6
6,Ferrari,1971,75,6
6,Ferrari,1972,75,6
6,Ferrari,1973,75,6
6,Ferrari,1974,75,6
6,Ferrari,1975,75,6
6,Ferrari,1976,75,6
6,Ferrari,1977,75,6
6,Ferrari,1978,75,6
6,Ferrari,1979,75,6
6,Ferrari,1980,75,6
6,Ferrari,1981,75,6
6,Ferrari,1982,75,6
6,Ferrari,1983,75,6
6,Ferrari,1984,75,6
6,Ferrari,1985,75,6
6,Ferrari,1986,75,6
6,Ferrari,1987,75,6
6,Ferrari,1988,75,6
6,Ferrari,1989,75,6
6,Ferrari,1990,75,6
6,Ferrari,1991,75,6
6,Ferrari,1992,75,6
6,Ferrari,1993,75,6
6,Ferrari,1994,75,6
6,Ferrari,1995,75,6
6,Ferrari,1996,75,6
6,Ferrari,1997,75,6
6,Ferrari,1998,75,6
6,Ferrari,1999,75,6
6,Ferrari,2000,75,6
6,Ferrari,2001,75,6
6,Ferrari,2002,75,6
6,Ferrari,2003,75,6
6,Ferrari,2004,75,6
6,Ferrari,2005,75,6
6,Ferrari,2006,75,6
6,Ferrari,2007,75,6
6,Ferrari,2008,75,6
6,Ferrari,2009,75,6
6,Ferrari,2010,75,6
6,Ferrari,2011,75,6
6,Ferrari,2012,75,6
6,Ferrari,2013,75,6
6,Ferrari,2014,75,6
6,Ferrari,2015,75,6
6,Ferrari,2016,75,6
6,Ferrari,2017,75,6
6,Ferrari,2018,75,6
6,Ferrari,2019,75,6
6,Ferrari,2020,75,6
6,Ferrari,2021,75,6
6,Ferrari,2022,75,6
6,Ferrari,2023,75,6
6,Ferrari,2024,75,6
1,McLaren,1968,55,188
1,McLaren,1971,55,188
1,McLaren,1972,55,188
1,McLaren,1973,55,188
1,McLaren,1974,55,188
1,McLaren,1975,55,188
1,McLaren,1976,55,188
1,McLaren,1977,55,188
1,McLaren,1978,55,188
1,McLaren,1979,55,188
1,McLaren,1980,55,188
1,McLaren,1981,55,188
1,McLaren,1982,55,188
1,McLaren,1983,55,188
1,McLaren,1984,55,188
1,McLaren,1985,55,188
1,McLaren,1986,55,188
1,McLaren,1987,55,188
1,McLaren,1988,55,188
1,McLaren,1989,55,188
1,McLaren,1990,55,188
1,McLaren,1991,55,188
1,McLaren,1992,55,188
1,McLaren,1993,55,188
1,McLaren,1994,55,188
1,McLaren,1995,55,188
1,McLaren,1996,55,188
1,McLaren,1997,55,188
1,McLaren,1998,55,188
1,McLaren,1999,55,188
1,McLaren,2000,55,188
1,McLaren,2001,55,188
1,McLaren,2002,55,188
1,McLaren,2003,55,188
1,McLaren,2004,55,188
1,McLaren,2005,55,188
1,McLaren,2006,55,188
1,McLaren,2007,55,188
1,McLaren,2008,55,188
1,McLaren,2009,55,188
1,McLaren,2010,55,188
1,McLaren,2011,55,188
1,McLaren,2012,55,188
1,McLaren,2013,55,188
1,McLaren,2014,55,188
1,McLaren,2015,55,188
1,McLaren,2016,55,188
1,McLaren,2017,55,188
1,McLaren,2018,55,188
1,McLaren,2019,55,188
1,McLaren,2020,55,188
1,McLaren,2021,55,188
1,McLaren,2022,55,188
1,McLaren,2023,55,188
1,McLaren,2024,55,188
3,Williams,1975,49,3
3,Williams,1976,49,3
3,Williams,1978,49,3
3,Williams,1979,49,3
3,Williams,1980,49,3
3,Williams,1981,49,3
3,Williams,1982,49,3
3,Williams,1983,49,3
3,Williams,1984,49,3
3,Williams,1985,49,3
3,Williams,1986,49,3
3,Williams,1987,49,3
3,Williams,1988,49,3
3,Williams,1989,49,3
3,Williams,1990,49,3
3,Williams,1991,49,3
3,Williams,1992,49,3
3,Williams,1993,49,3
3,Williams,1994,49,3
3,Williams,1995,49,3
3,Williams,1996,49,3
3,Williams,1997,49,3
3,Williams,1998,49,3
3,Williams,1999,49,3
3,Williams,2000,49,3
3,Williams,2001,49,3
3,Williams,2002,49,3
3,Williams,2003,49,3
3,Williams,2004,49,3
3,Williams,2005,49,3
3,Williams,2006,49,3
3,Williams,2007,49,3
3,Williams,2008,49,3
3,Williams,2009,49,3
3,Williams,2010,49,3
3,Williams,2011,49,3
3,Williams,2012,49,3
3,Williams,2013,49,3
3,Williams,2014,49,3
3,Williams,2015,49,3
3,Williams,2016,49,3
3,Williams,2017,49,3
3,Williams,2018,49,3
3,Williams,2019,49,3
3,Williams,2020,49,3
3,Williams,2021,49,3
3,Williams,2022,49,3
3,Williams,2023,49,3
3,Williams,2024,49,3
25,Tyrrell,1970,29,25
25,Tyrrell,1971,29,25
25,Tyrrell,1972,29,25
25,Tyrrell,1973,29,25
